CODIGO;DESCRICAO
111301;Cultivo de arroz
111302;Cultivo de milho
111303;Cultivo de trigo
111399;Cultivo de outros cereais năo especificados anteriormente
112101;Cultivo de algodăo herbáceo
112102;Cultivo de juta
112199;Cultivo de outras fibras de lavoura temporária năo especificadas anteriormente
113000;Cultivo de cana-de-açúcar
114800;Cultivo de fumo
115600;Cultivo de soja
116401;Cultivo de amendoim
116402;Cultivo de girassol
116403;Cultivo de mamona
116499;Cultivo de outras oleaginosas de lavoura temporária năo especificadas anteriormente
119901;Cultivo de abacaxi
119902;Cultivo de alho
119903;Cultivo de batata-inglesa
119904;Cultivo de cebola
119905;Cultivo de feijăo
119906;Cultivo de mandioca
119907;Cultivo de melăo
119908;Cultivo de melancia
119909;Cultivo de tomate rasteiro
119999;Cultivo de outras plantas de lavoura temporária năo especificadas anteriormente
121101;Horticultura, exceto morango
121102;Cultivo de morango
122900;Cultivo de flores e plantas ornamentais
131800;Cultivo de laranja
132600;Cultivo de uva
133401;Cultivo de açaí
133402;Cultivo de banana
133403;Cultivo de caju
133404;Cultivo de cítricos, exceto laranja
133405;Cultivo de coco-da-baía
133406;Cultivo de guaraná
133407;Cultivo de maçă
133408;Cultivo de mamăo
133409;Cultivo de maracujá
133410;Cultivo de manga
133411;Cultivo de pęssego
133499;Cultivo de frutas de lavoura permanente năo especificadas anteriormente
134200;Cultivo de café
135100;Cultivo de cacau
139301;Cultivo de chá-da-índia
139302;Cultivo de erva-mate
139303;Cultivo de pimenta-do-reino
139304;Cultivo de plantas para condimento, exceto pimenta-do-reino
139305;Cultivo de dendę
139306;Cultivo de seringueira
139399;Cultivo de outras plantas de lavoura permanente năo especificadas anteriormente
141501;Produçăo de sementes certificadas, exceto de forrageiras para pasto
141502;Produçăo de sementes certificadas de forrageiras para formaçăo de pasto
142300;Produçăo de mudas e outras formas de propagaçăo vegetal, certificadas
151201;Criaçăo de bovinos para corte
151202;Criaçăo de bovinos para leite
151203;Criaçăo de bovinos, exceto para corte e leite
152101;Criaçăo de bufalinos
152102;Criaçăo de eqüinos
152103;Criaçăo de asininos e muares
153901;Criaçăo de caprinos
153902;Criaçăo de ovinos, inclusive para produçăo de lă
154700;Criaçăo de suínos
155501;Criaçăo de frangos para corte
155502;Produçăo de pintos de um dia
155503;Criaçăo de outros galináceos, exceto para corte
155504;Criaçăo de aves, exceto galináceos
155505;Produçăo de ovos
159801;Apicultura
159802;Criaçăo de animais de estimaçăo
159803;Criaçăo de escargô
159804;Criaçăo de bicho-da-seda
159899;Criaçăo de outros animais năo especificados anteriormente
161001;Serviço de pulverizaçăo e controle de pragas agrícolas
161002;Serviço de poda de árvores para lavouras
161003;Serviço de preparaçăo de terreno, cultivo e colheita
161099;Atividades de apoio ŕ agricultura năo especificadas anteriormente
162801;Serviço de inseminaçăo artificial em animais
162802;Serviço de tosquiamento de ovinos
162803;Serviço de manejo de animais
162899;Atividades de apoio ŕ pecuária năo especificadas anteriormente
163600;Atividades de pós-colheita
170900;Caça e serviços relacionados
210101;Cultivo de eucalipto
210102;Cultivo de acácia-negra
210103;Cultivo de pinus
210104;Cultivo de teca
210105;Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca
210106;Cultivo de mudas em viveiros florestais
210107;Extraçăo de madeira em florestas plantadas
210108;Produçăo de carvăo vegetal - florestas plantadas
210109;Produçăo de casca de acácia-negra - florestas plantadas
210199;Produçăo de produtos năo-madeireiros năo especificados anteriormente em florestas plantadas
220901;Extraçăo de madeira em florestas nativas
220902;Produçăo de carvăo vegetal - florestas nativas
220903;Coleta de castanha-do-pará em florestas nativas
220904;Coleta de látex em florestas nativas
220905;Coleta de palmito em florestas nativas
220906;Conservaçăo de florestas nativas
220999;Coleta de produtos năo-madeireiros năo especificados anteriormente em florestas nativas
230600;Atividades de apoio ŕ produçăo florestal
311601;Pesca de peixes em água salgada
311602;Pesca de crustáceos e moluscos em água salgada
311603;Coleta de outros produtos marinhos
311604;Atividades de apoio ŕ pesca em água salgada
312401;Pesca de peixes em água doce
312402;Pesca de crustáceos e moluscos em água doce
312403;Coleta de outros produtos aquáticos de água doce
312404;Atividades de apoio ŕ pesca em água doce
321301;Criaçăo de peixes em água salgada e salobra
321302;Criaçăo de camarőes em água salgada e salobra
321303;Criaçăo de ostras e mexilhőes em água salgada e salobra
321304;Criaçăo de peixes ornamentais em água salgada e salobra
321305;Atividades de apoio ŕ aqüicultura em água salgada e salobra
321399;Cultivos e semicultivos da aqüicultura em água salgada e salobra năo especificados anteriormente
322101;Criaçăo de peixes em água doce
322102;Criaçăo de camarőes em água doce
322103;Criaçăo de ostras e mexilhőes em água doce
322104;Criaçăo de peixes ornamentais em água doce
322105;Ranicultura
322106;Criaçăo de jacaré
322107;Atividades de apoio ŕ aqüicultura em água doce
322199;Cultivos e semicultivos da aqüicultura em água doce năo especificados anteriormente
500301;Extraçăo de carvăo mineral
500302;Beneficiamento de carvăo mineral
600001;Extraçăo de petróleo e gás natural
600002;Extraçăo e beneficiamento de xisto
600003;Extraçăo e beneficiamento de areias betuminosas
710301;Extraçăo de minério de ferro
710302;Pelotizaçăo, sinterizaçăo e outros beneficiamentos de minério de ferro
721901;Extraçăo de minério de alumínio
721902;Beneficiamento de minério de alumínio
722701;Extraçăo de minério de estanho
722702;Beneficiamento de minério de estanho
723501;Extraçăo de minério de manganęs
723502;Beneficiamento de minério de manganęs
724301;Extraçăo de minério de metais preciosos
724302;Beneficiamento de minério de metais preciosos
725100;Extraçăo de minerais radioativos
729401;Extraçăo de minérios de nióbio e titânio
729402;Extraçăo de minério de tungstęnio
729403;Extraçăo de minério de níquel
729404;Extraçăo de minérios de cobre, chumbo, zinco e outros minerais metálicos năo-ferrosos năo especificados anteriormente
729405;Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos năo-ferrosos năo especificados anteriormente
810001;Extraçăo de ardósia e beneficiamento associado
810002;Extraçăo de granito e beneficiamento associado
810003;Extraçăo de mármore e beneficiamento associado
810004;Extraçăo de calcário e dolomita e beneficiamento associado
810005;Extraçăo de gesso e caulim
810006;Extraçăo de areia, cascalho ou pedregulho e beneficiamento associado
810007;Extraçăo de argila e beneficiamento associado
810008;Extraçăo de saibro e beneficiamento associado
810009;Extraçăo de basalto e beneficiamento associado
810010;Beneficiamento de gesso e caulim associado ŕ extraçăo
810099;Extraçăo e britamento de pedras e outros materiais para construçăo e beneficiamento associado
891600;Extraçăo de minerais para fabricaçăo de adubos, fertilizantes e outros produtos químicos
892401;Extraçăo de sal marinho
892402;Extraçăo de sal-gema
892403;Refino e outros tratamentos do sal
893200;Extraçăo de gemas (pedras preciosas e semipreciosas)
899101;Extraçăo de grafita
899102;Extraçăo de quartzo
899103;Extraçăo de amianto
899199;Extraçăo de outros minerais năo-metálicos năo especificados anteriormente
910600;Atividades de apoio ŕ extraçăo de petróleo e gás natural
990401;Atividades de apoio ŕ extraçăo de minério de ferro
990402;Atividades de apoio ŕ extraçăo de minerais metálicos năo-ferrosos
990403;Atividades de apoio ŕ extraçăo de minerais năo-metálicos
1011201;Frigorífico - abate de bovinos
1011202;Frigorífico - abate de eqüinos
1011203;Frigorífico - abate de ovinos e caprinos
1011204;Frigorífico - abate de bufalinos
1011205;Matadouro - abate de reses sob contrato - exceto abate de suínos
1012101;Abate de aves
1012102;Abate de pequenos animais
1012103;Frigorífico - abate de suínos
1012104;Matadouro - abate de suínos sob contrato
1013901;Fabricaçăo de produtos de carne
1013902;Preparaçăo de subprodutos do abate
1020101;Preservaçăo de peixes, crustáceos e moluscos
1020102;Fabricaçăo de conservas de peixes, crustáceos e moluscos
1031700;Fabricaçăo de conservas de frutas
1032501;Fabricaçăo de conservas de palmito
1032599;Fabricaçăo de conservas de legumes e outros vegetais, exceto palmito
1033301;Fabricaçăo de sucos concentrados de frutas, hortaliças e legumes
1033302;Fabricaçăo de sucos de frutas, hortaliças e legumes, exceto concentrados
1041400;Fabricaçăo de óleos vegetais em bruto, exceto óleo de milho
1042200;Fabricaçăo de óleos vegetais refinados, exceto óleo de milho
1043100;Fabricaçăo de margarina e outras gorduras vegetais e de óleos năo-comestíveis de animais
1051100;Preparaçăo do leite
1052000;Fabricaçăo de laticínios
1053800;Fabricaçăo de sorvetes e outros gelados comestíveis
1061901;Beneficiamento de arroz
1061902;Fabricaçăo de produtos do arroz
1062700;Moagem de trigo e fabricaçăo de derivados
1063500;Fabricaçăo de farinha de mandioca e derivados
1064300;Fabricaçăo de farinha de milho e derivados, exceto óleos de milho
1065101;Fabricaçăo de amidos e féculas de vegetais
1065102;Fabricaçăo de óleo de milho em bruto
1065103;Fabricaçăo de óleo de milho refinado
1066000;Fabricaçăo de alimentos para animais
1069400;Moagem e fabricaçăo de produtos de origem vegetal năo especificados anteriormente
1071600;Fabricaçăo de açúcar em bruto
1072401;Fabricaçăo de açúcar de cana refinado
1072402;Fabricaçăo de açúcar de cereais (dextrose) e de beterraba
1081301;Beneficiamento de café
1081302;Torrefaçăo e moagem de café
1082100;Fabricaçăo de produtos ŕ base de café
1091100;Fabricaçăo de produtos de panificaçăo
1091101;Fabricaçăo de produtos de panificaçăo industrial
1091102;Fabricaçăo de produtos de padaria e confeitaria com predominância de produçăo própria
1092900;Fabricaçăo de biscoitos e bolachas
1093701;Fabricaçăo de produtos derivados do cacau e de chocolates
1093702;Fabricaçăo de frutas cristalizadas, balas e semelhantes
1094500;Fabricaçăo de massas alimentícias
1095300;Fabricaçăo de especiarias, molhos, temperos e condimentos
1096100;Fabricaçăo de alimentos e pratos prontos
1099601;Fabricaçăo de vinagres
1099602;Fabricaçăo de pós alimentícios
1099603;Fabricaçăo de fermentos e leveduras
1099604;Fabricaçăo de gelo comum
1099605;Fabricaçăo de produtos para infusăo (chá, mate, etc.)
1099606;Fabricaçăo de adoçantes naturais e artificiais
1099607;Fabricaçăo de alimentos dietéticos e complementos alimentares
1099699;Fabricaçăo de outros produtos alimentícios năo especificados anteriormente
1111901;Fabricaçăo de aguardente de cana-de-açúcar
1111902;Fabricaçăo de outras aguardentes e bebidas destiladas
1112700;Fabricaçăo de vinho
1113501;Fabricaçăo de malte, inclusive malte uísque
1113502;Fabricaçăo de cervejas e chopes
1121600;Fabricaçăo de águas envasadas
1122401;Fabricaçăo de refrigerantes
1122402;Fabricaçăo de chá mate e outros chás prontos para consumo
1122403;Fabricaçăo de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas
1122404;Fabricaçăo de bebidas isotônicas
1122499;Fabricaçăo de outras bebidas năo-alcoólicas năo especificadas anteriormente
1210700;Processamento industrial do fumo
1220401;Fabricaçăo de cigarros
1220402;Fabricaçăo de cigarrilhas e charutos
1220403;Fabricaçăo de filtros para cigarros
1220499;Fabricaçăo de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos
1311100;Preparaçăo e fiaçăo de fibras de algodăo
1312000;Preparaçăo e fiaçăo de fibras tęxteis naturais, exceto algodăo
1313800;Fiaçăo de fibras artificiais e sintéticas
1314600;Fabricaçăo de linhas para costurar e bordar
1321900;Tecelagem de fios de algodăo
1322700;Tecelagem de fios de fibras tęxteis naturais, exceto algodăo
1323500;Tecelagem de fios de fibras artificiais e sintéticas
1330800;Fabricaçăo de tecidos de malha
1340501;Estamparia e texturizaçăo em fios, tecidos, artefatos tęxteis e peças do vestuário
1340502;Alvejamento, tingimento e torçăo em fios, tecidos, artefatos tęxteis e peças do vestuário
1340599;Outros serviços de acabamento em fios, tecidos, artefatos tęxteis e peças do vestuário
1351100;Fabricaçăo de artefatos tęxteis para uso doméstico
1352900;Fabricaçăo de artefatos de tapeçaria
1353700;Fabricaçăo de artefatos de cordoaria
1354500;Fabricaçăo de tecidos especiais, inclusive artefatos
1359600;Fabricaçăo de outros produtos tęxteis năo especificados anteriormente
1411801;Confecçăo de roupas íntimas
1411802;Facçăo de roupas íntimas
1412601;Confecçăo de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida
1412602;Confecçăo, sob medida, de peças do vestuário, exceto roupas íntimas
1412603;Facçăo de peças do vestuário, exceto roupas íntimas
1413401;Confecçăo de roupas profissionais, exceto sob medida
1413402;Confecçăo, sob medida, de roupas profissionais
1413403;Facçăo de roupas profissionais
1414200;Fabricaçăo de acessórios do vestuário, exceto para segurança e proteçăo
1421500;Fabricaçăo de meias
1422300;Fabricaçăo de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias
1510600;Curtimento e outras preparaçőes de couro
1521100;Fabricaçăo de artigos para viagem, bolsas e semelhantes de qualquer material
1529700;Fabricaçăo de artefatos de couro năo especificados anteriormente
1531901;Fabricaçăo de calçados de couro
1531902;Acabamento de calçados de couro sob contrato
1532700;Fabricaçăo de tęnis de qualquer material
1533500;Fabricaçăo de calçados de material sintético
1539400;Fabricaçăo de calçados de materiais năo especificados anteriormente
1540800;Fabricaçăo de partes para calçados, de qualquer material
1610201;Serrarias com desdobramento de madeira
1610202;Serrarias sem desdobramento de madeira
1610203;Serrarias com desdobramento de madeira em bruto
1610204;Serrarias sem desdobramento de madeira em bruto  -Resserragem
1610205;Serviço de tratamento de madeira realizado sob contrato
1621800;Fabricaçăo de madeira laminada e de chapas de madeira compensada, prensada e aglomerada
1622601;Fabricaçăo de casas de madeira pré-fabricadas
1622602;Fabricaçăo de esquadrias de madeira e de peças de madeira para instalaçőes industriais e comerciais
1622699;Fabricaçăo de outros artigos de carpintaria para construçăo
1623400;Fabricaçăo de artefatos de tanoaria e de embalagens de madeira
1629301;Fabricaçăo de artefatos diversos de madeira, exceto móveis
1629302;Fabricaçăo de artefatos diversos de cortiça, bambu, palha, vime e outros materiais trançados, exceto móveis
1710900;Fabricaçăo de celulose e outras pastas para a fabricaçăo de papel
1721400;Fabricaçăo de papel
1722200;Fabricaçăo de cartolina e papel-cartăo
1731100;Fabricaçăo de embalagens de papel
1732000;Fabricaçăo de embalagens de cartolina e papel-cartăo
1733800;Fabricaçăo de chapas e de embalagens de papelăo ondulado
1741901;Fabricaçăo de formulários contínuos
1741902;Fabricaçăo de produtos de papel, cartolina, papel cartăo e papelăo ondulado para uso comercial e de escritório, exceto formulário contínuo
1742701;Fabricaçăo de fraldas descartáveis
1742702;Fabricaçăo de absorventes higięnicos
1742799;Fabricaçăo de produtos de papel para uso doméstico e higięnico-sanitário năo especificados anteriormente
1749400;Fabricaçăo de produtos de pastas celulósicas, papel, cartolina, papel-cartăo e papelăo ondulado năo especificados anteriormente
1811301;Impressăo de jornais
1811302;Impressăo de livros, revistas e outras publicaçőes periódicas
1812100;Impressăo de material de segurança
1813001;Impressăo de material para uso publicitário
1813099;Impressăo de material para outros usos
1821100;Serviços de pré-impressăo
1822900;Serviços de acabamentos gráficos
1822901;Serviços de encadernaçăo e plastificaçăo
1822999;Serviços de acabamentos gráficos, exceto encadernaçăo e plastificaçăo
1830001;Reproduçăo de som em qualquer suporte
1830002;Reproduçăo de vídeo em qualquer suporte
1830003;Reproduçăo de software em qualquer suporte
1910100;Coquerias
1921700;Fabricaçăo de produtos do refino de petróleo
1922501;Formulaçăo de combustíveis
1922502;Rerrefino de óleos lubrificantes
1922599;Fabricaçăo de outros produtos derivados do petróleo, exceto produtos do refino
1931400;Fabricaçăo de álcool
1932200;Fabricaçăo de biocombustíveis, exceto álcool
2011800;Fabricaçăo de cloro e álcalis
2012600;Fabricaçăo de intermediários para fertilizantes
2013400;Fabricaçăo de adubos e fertilizantes
2013401;Fabricaçăo de adubos e fertilizantes organo-minerais
2013402;Fabricaçăo de adubos e fertilizantes, exceto organo-minerais
2014200;Fabricaçăo de gases industriais
2019301;Elaboraçăo de combustíveis nucleares
2019399;Fabricaçăo de outros produtos químicos inorgânicos năo especificados anteriormente
2021500;Fabricaçăo de produtos petroquímicos básicos
2022300;Fabricaçăo de intermediários para plastificantes, resinas e fibras
2029100;Fabricaçăo de produtos químicos orgânicos năo especificados anteriormente
2031200;Fabricaçăo de resinas termoplásticas
2032100;Fabricaçăo de resinas termofixas
2033900;Fabricaçăo de elastômeros
2040100;Fabricaçăo de fibras artificiais e sintéticas
2051700;Fabricaçăo de defensivos agrícolas
2052500;Fabricaçăo de desinfestantes domissanitários
2061400;Fabricaçăo de sabőes e detergentes sintéticos
2062200;Fabricaçăo de produtos de limpeza e polimento
2063100;Fabricaçăo de cosméticos, produtos de perfumaria e de higiene pessoal
2071100;Fabricaçăo de tintas, vernizes, esmaltes e lacas
2072000;Fabricaçăo de tintas de impressăo
2073800;Fabricaçăo de impermeabilizantes, solventes e produtos afins
2091600;Fabricaçăo de adesivos e selantes
2092401;Fabricaçăo de pólvoras, explosivos e detonantes
2092402;Fabricaçăo de artigos pirotécnicos
2092403;Fabricaçăo de fósforos de segurança
2093200;Fabricaçăo de aditivos de uso industrial
2094100;Fabricaçăo de catalisadores
2099101;Fabricaçăo de chapas, filmes, papéis e outros materiais e produtos químicos para fotografia
2099199;Fabricaçăo de outros produtos químicos năo especificados anteriormente
2110600;Fabricaçăo de produtos farmoquímicos
2121101;Fabricaçăo de medicamentos alopáticos para uso humano
2121102;Fabricaçăo de medicamentos homeopáticos para uso humano
2121103;Fabricaçăo de medicamentos fitoterápicos para uso humano
2122000;Fabricaçăo de medicamentos para uso veterinário
2123800;Fabricaçăo de preparaçőes farmacęuticas
2211100;Fabricaçăo de pneumáticos e de câmaras-de-ar
2212900;Reforma de pneumáticos usados
2219600;Fabricaçăo de artefatos de borracha năo especificados anteriormente
2221800;Fabricaçăo de laminados planos e tubulares de material plástico
2222600;Fabricaçăo de embalagens de material plástico
2223400;Fabricaçăo de tubos e acessórios de material plástico para uso na construçăo
2229301;Fabricaçăo de artefatos de material plástico para uso pessoal e doméstico
2229302;Fabricaçăo de artefatos de material plástico para usos industriais
2229303;Fabricaçăo de artefatos de material plástico para uso na construçăo, exceto tubos e acessórios
2229399;Fabricaçăo de artefatos de material plástico para outros usos năo especificados anteriormente
2311700;Fabricaçăo de vidro plano e de segurança
2312500;Fabricaçăo de embalagens de vidro
2319200;Fabricaçăo de artigos de vidro
2320600;Fabricaçăo de cimento
2330301;Fabricaçăo de estruturas pré-moldadas de concreto armado, em série e sob encomenda
2330302;Fabricaçăo de artefatos de cimento para uso na construçăo
2330303;Fabricaçăo de artefatos de fibrocimento para uso na construçăo
2330304;Fabricaçăo de casas pré-moldadas de concreto
2330305;Preparaçăo de massa de concreto e argamassa para construçăo
2330399;Fabricaçăo de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes
2341900;Fabricaçăo de produtos cerâmicos refratários
2342701;Fabricaçăo de azulejos e pisos
2342702;Fabricaçăo de artefatos de cerâmica e barro cozido para uso na construçăo, exceto azulejos e pisos
2349401;Fabricaçăo de material sanitário de cerâmica
2349499;Fabricaçăo de produtos cerâmicos năo-refratários năo especificados anteriormente
2391501;Britamento de pedras, exceto associado ŕ extraçăo
2391502;Aparelhamento de pedras para construçăo, exceto associado ŕ extraçăo
2391503;Aparelhamento de placas e execuçăo de trabalhos em mármore, granito, ardósia e outras pedras
2392300;Fabricaçăo de cal e gesso
2399101;Decoraçăo, lapidaçăo, gravaçăo, vitrificaçăo e outros trabalhos em cerâmica, louça, vidro e cristal
2399102;Fabricaçăo de abrasivos
2399199;Fabricaçăo de outros produtos de minerais năo-metálicos năo especificados anteriormente
2411300;Produçăo de ferro-gusa
2412100;Produçăo de ferroligas
2421100;Produçăo de semi-acabados de aço
2422901;Produçăo de laminados planos de aço ao carbono, revestidos ou năo
2422902;Produçăo de laminados planos de aços especiais
2423701;Produçăo de tubos de aço sem costura
2423702;Produçăo de laminados longos de aço, exceto tubos
2424501;Produçăo de arames de aço
2424502;Produçăo de relaminados, trefilados e perfilados de aço, exceto arames
2431800;Produçăo de tubos de aço com costura
2439300;Produçăo de outros tubos de ferro e aço
2441501;Produçăo de alumínio e suas ligas em formas primárias
2441502;Produçăo de laminados de alumínio
2442300;Metalurgia dos metais preciosos
2443100;Metalurgia do cobre
2449101;Produçăo de zinco em formas primárias
2449102;Produçăo de laminados de zinco
2449103;Fabricaçăo de ânodos para galvanoplastia
2449199;Metalurgia de outros metais năo-ferrosos e suas ligas năo especificados anteriormente
2451200;Fundiçăo de ferro e aço
2452100;Fundiçăo de metais năo-ferrosos e suas ligas
2511000;Fabricaçăo de estruturas metálicas
2512800;Fabricaçăo de esquadrias de metal
2513600;Fabricaçăo de obras de caldeiraria pesada
2521700;Fabricaçăo de tanques, reservatórios metálicos e caldeiras para aquecimento central
2522500;Fabricaçăo de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos
2531401;Produçăo de forjados de aço
2531402;Produçăo de forjados de metais năo-ferrosos e suas ligas
2532201;Produçăo de artefatos estampados de metal
2532202;Metalurgia do pó
2539000;Serviços de usinagem, solda, tratamento e revestimento em metais
2539001;Serviços de usinagem, tornearia e solda
2539002;Serviços de tratamento e revestimento em metais
2541100;Fabricaçăo de artigos de cutelaria
2542000;Fabricaçăo de artigos de serralheria, exceto esquadrias
2543800;Fabricaçăo de ferramentas
2550101;Fabricaçăo de equipamento bélico pesado, exceto veículos militares de combate
2550102;Fabricaçăo de armas de fogo, outras armas e muniçőes
2591800;Fabricaçăo de embalagens metálicas
2592601;Fabricaçăo de produtos de trefilados de metal padronizados
2592602;Fabricaçăo de produtos de trefilados de metal, exceto padronizados
2593400;Fabricaçăo de artigos de metal para uso doméstico e pessoal
2599301;Serviços de confecçăo de armaçőes metálicas para a construçăo
2599302;Serviço de corte e dobra de metais
2599399;Fabricaçăo de outros produtos de metal năo especificados anteriormente
2610800;Fabricaçăo de componentes eletrônicos
2621300;Fabricaçăo de equipamentos de informática
2622100;Fabricaçăo de periféricos para equipamentos de informática
2631100;Fabricaçăo de equipamentos transmissores de comunicaçăo, peças e acessórios
2632900;Fabricaçăo de aparelhos telefônicos e de outros equipamentos de comunicaçăo, peças e acessórios
2640000;Fabricaçăo de aparelhos de recepçăo, reproduçăo, gravaçăo e amplificaçăo de áudio e vídeo
2651500;Fabricaçăo de aparelhos e equipamentos de medida, teste e controle
2652300;Fabricaçăo de cronômetros e relógios
2660400;Fabricaçăo de aparelhos eletromédicos e eletroterapęuticos e equipamentos de irradiaçăo
2670101;Fabricaçăo de equipamentos e instrumentos ópticos, peças e acessórios
2670102;Fabricaçăo de aparelhos fotográficos e cinematográficos, peças e acessórios
2680900;Fabricaçăo de mídias virgens, magnéticas e ópticas
2710401;Fabricaçăo de geradores de corrente contínua e alternada, peças e acessórios
2710402;Fabricaçăo de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios
2710403;Fabricaçăo de motores elétricos, peças e acessórios
2721000;Fabricaçăo de pilhas, baterias e acumuladores elétricos, exceto para veículos automotores
2722801;Fabricaçăo de baterias e acumuladores para veículos automotores
2722802;Recondicionamento de baterias e acumuladores para veículos automotores
2731700;Fabricaçăo de aparelhos e equipamentos para distribuiçăo e controle de energia elétrica
2732500;Fabricaçăo de material elétrico para instalaçőes em circuito de consumo
2733300;Fabricaçăo de fios, cabos e condutores elétricos isolados
2740601;Fabricaçăo de lâmpadas
2740602;Fabricaçăo de luminárias e outros equipamentos de iluminaçăo
2751100;Fabricaçăo de fogőes, refrigeradores e máquinas de lavar e secar para uso doméstico, peças e acessórios
2759701;Fabricaçăo de aparelhos elétricos de uso pessoal, peças e acessórios
